Ticket Id,Student or WP,Program Name,Status (Ticket),Created Time (Ticket),Ticket Closed Time,First Response Time,Project Phase,day_of_week,hour,day_number,week_num,month,days_since_last_ticket
6647.0,Working Professionals,Backend Program,Closed,2021-05-16 12:10:00,17-05-2021 11:57,17-05-2021 11:57,trial phase,Sunday,12.0,16.0,19,5.0,1906.0
6644.0,Student,Fullstack Program,Closed,2021-05-16 12:10:00,16-05-2021 19:24,16-05-2021 12:28,fullstack-phase-2,Sunday,12.0,16.0,19,5.0,1906.0
6652.0,Working Professionals,Backend Program,Closed,2021-05-16 12:11:00,16-05-2021 21:25,16-05-2021 12:11,backend-phase2,Sunday,12.0,16.0,19,5.0,1906.0
6653.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:11:00,16-05-2021 21:42,16-05-2021 12:11,system-issues,Sunday,12.0,16.0,19,5.0,1906.0
6656.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:11:00,16-05-2021 21:42,16-05-2021 17:03,fullstack-phase-2,Sunday,12.0,16.0,19,5.0,1906.0
6661.0,Working Professionals,Fullstack Program,Duplicate,2021-05-16 12:11:00,16-05-2021 14:18,16-05-2021 14:18,fullstack-phase-1,Sunday,12.0,16.0,19,5.0,1906.0
6643.0,Working Professionals,Backend Program,Closed,2021-05-16 12:10:00,17-05-2021 11:57,16-05-2021 12:11,backend-phase1,Sunday,12.0,16.0,19,5.0,1906.0
6648.0,Working Professionals,Fullstack Program,Duplicate,2021-05-16 12:10:00,16-05-2021 12:25,,fullstack-phase-1,Sunday,12.0,16.0,19,5.0,1906.0
6660.0,Working Professionals,Fullstack Program,Duplicate,2021-05-16 12:11:00,16-05-2021 14:18,,fullstack-phase-1,Sunday,12.0,16.0,19,5.0,1906.0
6664.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:13:00,16-05-2021 21:40,16-05-2021 12:20,fullstack-phase-2,Sunday,12.0,16.0,19,5.0,1906.0
6682.0,Working Professionals,Fullstack Program,Closed,2021-05-16 14:58:00,18-05-2021 19:13,16-05-2021 15:02,fullstack-phase-2,Sunday,14.0,16.0,19,5.0,1906.0
6645.0,Working Professionals,Backend Program,Closed,2021-05-16 12:10:00,18-05-2021 21:22,16-05-2021 12:10,trial phase,Sunday,12.0,16.0,19,5.0,1906.0
6662.0,Working Professionals,Backend Program,Closed,2021-05-16 12:11:00,16-05-2021 21:41,16-05-2021 17:02,system-issues,Sunday,12.0,16.0,19,5.0,1906.0
6665.0,Student,Fullstack Program,Closed,2021-05-16 12:24:00,16-05-2021 21:40,16-05-2021 19:24,fullstack-phase-1,Sunday,12.0,16.0,19,5.0,1906.0
6667.0,Working Professionals,Backend Program,Closed,2021-05-16 12:56:00,16-05-2021 21:25,16-05-2021 13:07,backend-phase-3,Sunday,12.0,16.0,19,5.0,1906.0
6670.0,Working Professionals,Backend Program,Closed,2021-05-16 13:32:00,17-05-2021 22:35,16-05-2021 14:02,backend-phase1,Sunday,13.0,16.0,19,5.0,1906.0
6672.0,Working Professionals,Fullstack Program,Closed,2021-05-16 13:41:00,17-05-2021 12:01,16-05-2021 18:53,fullstack-phase-2,Sunday,13.0,16.0,19,5.0,1906.0
6657.0,Working Professionals,Fullstack Program,Duplicate,2021-05-16 12:11:00,17-05-2021 12:05,17-05-2021 12:05,fullstack-phase-1,Sunday,12.0,16.0,19,5.0,1906.0
6658.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:11:00,17-05-2021 11:59,16-05-2021 14:19,fullstack-phase-1,Sunday,12.0,16.0,19,5.0,1906.0
6659.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:11:00,17-05-2021 11:59,16-05-2021 14:16,fullstack-phase-1,Sunday,12.0,16.0,19,5.0,1906.0
6671.0,Working Professionals,Backend Program,Closed,2021-05-16 13:39:00,17-05-2021 12:01,16-05-2021 17:51,trial phase,Sunday,13.0,16.0,19,5.0,1906.0
6683.0,Working Professionals,Fullstack Program,Closed,2021-05-16 14:59:00,16-05-2021 19:21,16-05-2021 18:38,fullstack-phase-4,Sunday,14.0,16.0,19,5.0,1906.0
6685.0,Student,Backend Program,Closed,2021-05-16 15:17:00,16-05-2021 19:19,16-05-2021 16:59,trial phase,Sunday,15.0,16.0,19,5.0,1906.0
6666.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:34:00,16-05-2021 21:39,16-05-2021 15:01,fullstack-phase-2,Sunday,12.0,16.0,19,5.0,1906.0
6675.0,Working Professionals,Backend Program,Closed,2021-05-16 13:58:00,17-05-2021 22:35,16-05-2021 14:00,backend-phase1,Sunday,13.0,16.0,19,5.0,1906.0
6679.0,Working Professionals,Backend Program,Deleted,2021-05-16 14:52:00,16-05-2021 15:25,,trial phase,Sunday,14.0,16.0,19,5.0,1906.0
6730.0,Working Professionals,Backend Program,Duplicate,2021-05-16 19:42:00,16-05-2021 21:16,,backend-phase2,Sunday,19.0,16.0,19,5.0,1906.0
6650.0,Working Professionals,Fullstack Program,Closed,2021-05-16 12:11:00,18-05-2021 20:38,18-05-2021 19:15,fullstack-phase-1,Sunday,12.0,16.0,19,5.0,1906.0
6654.0,Working Professionals,Fullstack Program,Duplicate,2021-05-16 12:11:00,16-05-2021 14:19,,fullstack-phase-2,Sunday,12.0,16.0,19,5.0,1906.0
6663.0,Working Professionals,Backend Program,Closed,2021-05-16 12:12:00,17-05-2021 12:00,16-05-2021 12:12,backend-phase2,Sunday,12.0,16.0,19,5.0,1906.0
6708.0,Working Professionals,Fullstack Program,Closed,2021-05-16 18:17:00,16-05-2021 19:17,16-05-2021 19:17,trial phase,Sunday,18.0,16.0,19,5.0,1906.0
6710.0,Working Professionals,Backend Program,Closed,2021-05-16 18:21:00,18-05-2021 23:28,16-05-2021 21:09,fullstack-phase-2,Sunday,18.0,16.0,19,5.0,1906.0
6720.0,Working Professionals,Backend Program,Closed,2021-05-16 19:13:00,16-05-2021 21:18,16-05-2021 19:20,backend-phase2,Sunday,19.0,16.0,19,5.0,1906.0
6669.0,Working Professionals,Fullstack Program,Closed,2021-05-16 13:13:00,19-05-2021 10:12,18-05-2021 19:15,fullstack-phase-1,Sunday,13.0,16.0,19,5.0,1906.0
6686.0,Student,Fellowship Program,Closed,2021-05-16 15:22:00,18-05-2021 19:13,17-05-2021 00:13,fellowship-phase-1,Sunday,15.0,16.0,19,5.0,1906.0
6691.0,Working Professionals,Fellowship Program,Closed,2021-05-16 15:43:00,18-05-2021 11:24,18-05-2021 19:13,fellowship-phase-1,Sunday,15.0,16.0,19,5.0,1906.0
6673.0,Working Professionals,Fullstack Program,Closed,2021-05-16 13:55:00,18-05-2021 19:13,16-05-2021 18:24,fullstack-phase-2,Sunday,13.0,16.0,19,5.0,1906.0
6680.0,Working Professionals,Fullstack Program,Closed,2021-05-16 14:53:00,16-05-2021 15:38,16-05-2021 15:06,fullstack-phase-2,Sunday,14.0,16.0,19,5.0,1906.0
6684.0,Working Professionals,Backend Program,Closed,2021-05-16 15:03:00,17-05-2021 12:03,16-05-2021 15:22,backend-phase-3,Sunday,15.0,16.0,19,5.0,1906.0
6700.0,Working Professionals,Backend Program,Closed,2021-05-16 16:30:00,16-05-2021 21:27,16-05-2021 16:32,backend-phase2,Sunday,16.0,16.0,19,5.0,1906.0
6702.0,Working Professionals,Fullstack Program,Closed,2021-05-16 17:17:00,16-05-2021 17:59,16-05-2021 17:18,fullstack-phase-3,Sunday,17.0,16.0,19,5.0,1906.0
6677.0,Student,Fellowship Program,Closed,2021-05-16 14:49:00,17-05-2021 22:35,18-05-2021 19:12,fellowship-phase-1,Sunday,14.0,16.0,19,5.0,1906.0
6687.0,Student,Fellowship Program,Duplicate,2021-05-16 15:22:00,18-05-2021 23:28,,fellowship-phase-1,Sunday,15.0,16.0,19,5.0,1906.0
6690.0,Student,Fellowship Program,Closed,2021-05-16 15:43:00,18-05-2021 17:06,18-05-2021 19:24,fellowship-phase-1,Sunday,15.0,16.0,19,5.0,1906.0
6701.0,Working Professionals,Fullstack Program,Closed,2021-05-16 16:47:00,16-05-2021 16:59,16-05-2021 16:59,fullstack-phase-3,Sunday,16.0,16.0,19,5.0,1906.0
6711.0,Working Professionals,Backend Program,Closed,2021-05-16 18:33:00,16-05-2021 21:36,16-05-2021 18:44,system-issues,Sunday,18.0,16.0,19,5.0,1906.0
6698.0,Working Professionals,Backend Program,Closed,2021-05-16 16:21:00,16-05-2021 21:37,16-05-2021 17:01,system-issues,Sunday,16.0,16.0,19,5.0,1906.0
6709.0,Student,Fullstack Program,Closed,2021-05-16 18:19:00,17-05-2021 12:06,17-05-2021 12:06,trial phase,Sunday,18.0,16.0,19,5.0,1906.0
