Ticket Id,Status (Ticket),Ticket Closed Time,First Response Time
6435.0,Closed,17-05-2021 11:40,14-05-2021 15:04
6441.0,Closed,16-05-2021 21:20,14-05-2021 15:42
6443.0,Closed,14-05-2021 20:45,14-05-2021 15:20
6447.0,Closed,17-05-2021 11:40,14-05-2021 14:41
6451.0,Closed,17-05-2021 11:40,14-05-2021 15:13
6455.0,Deleted,14-05-2021 15:17,
6466.0,Closed,17-05-2021 11:42,14-05-2021 16:55
6467.0,Closed,16-05-2021 12:40,14-05-2021 20:37
6468.0,Duplicate,17-05-2021 11:44,
6469.0,Deleted,14-05-2021 17:14,
6470.0,Duplicate,17-05-2021 11:43,
6485.0,Deleted,14-05-2021 20:03,
6490.0,Closed,17-05-2021 11:46,14-05-2021 20:42
6500.0,Closed,17-05-2021 11:47,14-05-2021 20:11
6505.0,Closed,19-05-2021 10:54,14-05-2021 20:44
6506.0,Duplicate,17-05-2021 22:19,
6508.0,Closed,18-05-2021 22:11,14-05-2021 22:35
6527.0,Deleted,14-05-2021 23:09,
6529.0,Closed,16-05-2021 21:21,16-05-2021 21:21
6534.0,Deleted,15-05-2021 07:21,
6535.0,Duplicate,16-05-2021 21:25,
6536.0,Closed,17-05-2021 22:20,15-05-2021 14:18
6545.0,Closed,17-05-2021 11:49,15-05-2021 10:36
6550.0,Closed,16-05-2021 21:22,16-05-2021 12:07
6567.0,Deleted,15-05-2021 14:43,
6577.0,Closed,17-05-2021 22:23,15-05-2021 15:47
6617.0,Closed,18-05-2021 11:13,16-05-2021 12:10
6622.0,Closed,17-05-2021 11:52,16-05-2021 12:08
6620.0,Closed,17-05-2021 11:52,16-05-2021 12:11
6628.0,Closed,16-05-2021 12:51,16-05-2021 12:09
6630.0,Closed,17-05-2021 11:54,16-05-2021 12:10
6634.0,Closed,17-05-2021 11:54,16-05-2021 12:09
6639.0,Closed,17-05-2021 11:55,16-05-2021 12:10
6643.0,Closed,17-05-2021 11:57,16-05-2021 12:11
6642.0,Closed,20-05-2021 11:24,16-05-2021 12:11
6647.0,Closed,17-05-2021 11:57,17-05-2021 11:57
6652.0,Closed,16-05-2021 21:25,16-05-2021 12:11
6662.0,Closed,16-05-2021 21:41,16-05-2021 17:02
6663.0,Closed,17-05-2021 12:00,16-05-2021 12:12
6667.0,Closed,16-05-2021 21:25,16-05-2021 13:07
6670.0,Closed,17-05-2021 22:35,16-05-2021 14:02
6671.0,Closed,17-05-2021 12:01,16-05-2021 17:51
6675.0,Closed,17-05-2021 22:35,16-05-2021 14:00
6679.0,Deleted,16-05-2021 15:25,
6684.0,Closed,17-05-2021 12:03,16-05-2021 15:22
6698.0,Closed,16-05-2021 21:37,16-05-2021 17:01
6700.0,Closed,16-05-2021 21:27,16-05-2021 16:32
6704.0,Closed,16-05-2021 19:18,16-05-2021 19:18
6710.0,Closed,18-05-2021 23:28,16-05-2021 21:09
6711.0,Closed,16-05-2021 21:36,16-05-2021 18:44
6716.0,Closed,16-05-2021 21:34,16-05-2021 18:47
6715.0,Closed,16-05-2021 21:27,16-05-2021 18:47
6717.0,Closed,16-05-2021 21:34,16-05-2021 21:34
6718.0,Closed,16-05-2021 21:33,16-05-2021 21:33
6719.0,Closed,16-05-2021 21:15,16-05-2021 21:15
6720.0,Closed,16-05-2021 21:18,16-05-2021 19:20
6724.0,Closed,17-05-2021 19:33,18-05-2021 18:19
6729.0,Duplicate,16-05-2021 21:17,16-05-2021 21:17
6741.0,Closed,17-05-2021 22:33,16-05-2021 20:17
6742.0,Closed,17-05-2021 12:08,17-05-2021 12:08
6744.0,Closed,16-05-2021 21:16,16-05-2021 20:34
6748.0,Closed,21-05-2021 17:44,18-05-2021 18:16
6754.0,Closed,18-05-2021 15:17,18-05-2021 18:17
6759.0,Closed,18-05-2021 19:12,18-05-2021 18:16
6775.0,Duplicate,18-05-2021 18:50,18-05-2021 19:25
6781.0,Closed,18-05-2021 11:32,18-05-2021 18:16
6788.0,Closed,18-05-2021 18:46,17-05-2021 12:43
6826.0,Closed,18-05-2021 18:54,18-05-2021 18:16
6841.0,Closed,18-05-2021 18:47,18-05-2021 18:18
6847.0,Closed,18-05-2021 20:26,18-05-2021 18:20
6848.0,Closed,20-05-2021 21:37,18-05-2021 20:22
6852.0,Resolved,18-05-2021 22:09,18-05-2021 18:21
6859.0,Closed,20-05-2021 19:59,18-05-2021 19:11
6862.0,Closed,18-05-2021 20:56,18-05-2021 19:12
6871.0,Closed,19-05-2021 11:04,18-05-2021 19:13
6876.0,Closed,20-05-2021 11:27,18-05-2021 19:13
6864.0,Closed,18-05-2021 23:33,18-05-2021 19:14
6879.0,Closed,18-05-2021 22:43,18-05-2021 19:14
6893.0,Resolved,18-05-2021 22:28,18-05-2021 19:14
6894.0,Closed,21-05-2021 13:52,18-05-2021 19:14
6912.0,Closed,20-05-2021 11:31,18-05-2021 19:24
6910.0,Closed,19-05-2021 21:52,19-05-2021 21:08
6916.0,Closed,18-05-2021 23:42,18-05-2021 19:25
6920.0,Closed,18-05-2021 20:34,18-05-2021 19:25
6924.0,Closed,19-05-2021 11:13,19-05-2021 11:13
6928.0,Closed,18-05-2021 20:27,18-05-2021 20:06
6936.0,Closed,19-05-2021 11:15,18-05-2021 21:24
6939.0,Closed,18-05-2021 23:43,18-05-2021 21:52
6942.0,Deleted,18-05-2021 22:16,
6943.0,Closed,19-05-2021 11:15,18-05-2021 22:25
6947.0,Resolved,18-05-2021 23:22,18-05-2021 22:41
6948.0,Closed,18-05-2021 23:23,18-05-2021 23:23
6965.0,Closed,19-05-2021 23:03,19-05-2021 08:43
6971.0,Closed,19-05-2021 17:24,19-05-2021 08:09
6972.0,Closed,19-05-2021 17:24,19-05-2021 11:20
